#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
133,Senegal,"88,817",,"1,968 ",,"86,775",,74,,"5,031",111,"1,146,543","64,946","17,653,671 ",Africa,"1998,97015",,,4,
134,Malawi,"88,073",,"2,683 ",,"84,974",,416,67,"4,364",133,"619,708","30,708","20,180,839 ",Africa,"2297,52233",,,21,
135,Ivory Coast,"87,830",,829 ,,"86,970",,31,,"3,166",30,"1,644,475","59,277","27,742,298 ",Africa,"31633,46517",,,1,
136,Suriname,"81,228",,"1,392 ",,N/A,N/A,N/A,,"136,099","2,332","239,603","401,459","596,831 ",South America,74292,,,"50,580",
137,French Polynesia,"76,764",,649 ,,N/A,N/A,N/A,7,"270,140","2,284",,,"284,164 ",Australia/Oceania,4438,,,"149,966",
138,New Caledonia,"74,441",+1,314 ,,"74,000",+41,127,9,"255,886","1,079","98,964","340,182","290,915 ",Australia/Oceania,49263,3,,437,
139,Eswatini,"73,618",,"1,422 ",,"72,125",,71,,"62,134","1,200","1,047,249","883,891","1,184,817 ",Africa,168331,,,60,
140,Guyana,"71,449",,"1,281 ",,"70,150",,18,,"89,981","1,613","702,789","885,075","794,045 ",South America,116201,,,23,
141,Belize,"68,972",,687 ,,"68,275",,10,6,"167,331","1,667","576,016","1,397,453","412,190 ",North America,66001,,,24,
142,Fiji,"68,270",,878 ,,"66,327",,"1,065",,"75,066",965,"664,357","730,491","909,466 ",Australia/Oceania,"131,0361",,,"1,171",
143,Madagascar,"66,788",,"1,411 ",,"65,297",,80,,"2,289",48,"515,324","17,661","29,178,077 ",Africa,"43720,67957",,,3,
144,Sudan,"63,518",,"4,972 ",,"57,732",,814,,"1,381",108,"562,941","12,240","45,992,020 ",Africa,"7249,25082",,,18,
145,Mauritania,"63,400",,997 ,,"62,343",,60,,"12,934",203,"1,000,372","204,075","4,901,981 ",Africa,"774,9175",,,12,
146,Cabo Verde,"62,561",,410 ,,"62,008",,143,23,"110,205",722,"401,622","707,482","567,678 ",Africa,"91,3851",,,252,
147,Bhutan,"62,430",,21 ,,"61,564",,845,,"79,232",27,"2,303,734","2,923,739","787,941 ",Asia,"1337,5210",,,"1,072",
148,Syria,"57,371",,"3,163 ",,"54,201",,7,,"2,963",163,"146,269","7,553","19,364,809 ",Asia,"3386,122132",,,0.4,
149,Burundi,"50,574",+57,38 ,,"50,397",+138,139,,"4,006",3,"345,742","27,386","12,624,840 ",Africa,"250332,23337",5,,11,
150,Seychelles,"49,380",,171 ,,"48,626",,583,,"496,651","1,720",,,"99,426 ",Africa,2581,,,"5,864",
